url_path,views_total,views_unique
/vishal2376/snaptick,275,198
/vishal2376/snaptick/releases/tag/v3.3,58,47
/vishal2376/snaptick/releases,21,13
/vishal2376/snaptick/issues/93,17,6
/vishal2376/snaptick/issues,8,6
/vishal2376/snaptick/tree/master/app,5,5
/vishal2376/snaptick/tree/master/app/src/main,5,5
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/settings/SettingsScreen.kt,5,1
/vishal2376/snaptick/tree/master/app/src,4,4
/vishal2376/snaptick/tree/master,4,2
